quad,alu,winner_variant,winner_renderer,winner_time_ms,second_best_time_ms,winner_margin_second_over_best,variant_1_Forward_time_ms,variant_1_time_over_fastest,variant_2_ForwardPrepass_time_ms,variant_2_time_over_fastest,variant_4_VisBuf_time_ms,variant_4_time_over_fastest
96,128,4,VisBuf,1.33427,1.76967,1.3263207596663344,1.76967,1.3263207596663344,1.81078,1.357131615040434,1.33427,1.0
96,192,4,VisBuf,1.9748,2.67056,1.3523192221997165,2.67056,1.3523192221997165,2.70108,1.3677739517925867,1.9748,1.0
128,0,1,Forward,0.04236,0.07,1.6525023607176583,0.04236,1.0,0.07426,1.7530689329556186,0.07,1.6525023607176583
128,1,1,Forward,0.05927,0.08568,1.445587987177324,0.05927,1.0,0.09466,1.5970980259827905,0.08568,1.445587987177324
128,2,1,Forward,0.07275,0.0927,1.2742268041237115,0.07275,1.0,0.10778,1.481512027491409,0.0927,1.2742268041237115
128,4,1,Forward,0.09895,0.11196,1.1314805457301669,0.09895,1.0,0.13454,1.359676604345629,0.11196,1.1314805457301669
128,8,4,VisBuf,0.14921,0.15269,1.0233228335902418,0.15269,1.0233228335902418,0.18769,1.2578915622277327,0.14921,1.0
128,16,4,VisBuf,0.23065,0.25957,1.1253847821374379,0.25957,1.1253847821374379,0.29407,1.2749620637329286,0.23065,1.0
128,32,4,VisBuf,0.38852,0.48581,1.2504118192113662,0.48581,1.2504118192113662,0.51788,1.3329558323895812,0.38852,1.0
128,64,4,VisBuf,0.7007,0.94906,1.3544455544455545,0.94906,1.3544455544455545,0.97294,1.3885257599543315,0.7007,1.0
128,96,4,VisBuf,1.01819,1.41189,1.3866665357153383,1.41189,1.3866665357153383,1.43262,1.4070261935395163,1.01819,1.0
128,128,4,VisBuf,1.32588,1.87498,1.4141400428394728,1.87498,1.4141400428394728,1.88599,1.422443961746161,1.32588,1.0
128,192,4,VisBuf,1.96689,2.82502,1.4362877435952188,2.82502,1.4362877435952188,2.82888,1.4382502326007045,1.96689,1.0
192,0,1,Forward,0.03981,0.06662,1.6734488821904046,0.03981,1.0,0.06662,1.6734488821904046,0.0693,1.7407686510926903
192,1,1,Forward,0.05656,0.08464,1.4964639321074966,0.05656,1.0,0.09013,1.5935289957567187,0.08464,1.4964639321074966
192,2,1,Forward,0.07216,0.09177,1.2717572062084257,0.07216,1.0,0.10523,1.4582871396895787,0.09177,1.2717572062084257
192,4,1,Forward,0.10248,0.11068,1.080015612802498,0.10248,1.0,0.13599,1.3269906323185012,0.11068,1.080015612802498
192,8,4,VisBuf,0.14782,0.16426,1.1112163442024081,0.16426,1.1112163442024081,0.19853,1.3430523609795697,0.14782,1.0
192,16,4,VisBuf,0.22909,0.29012,1.2664018508009953,0.29012,1.2664018508009953,0.32415,1.4149460910559168,0.22909,1.0
192,32,4,VisBuf,0.38216,0.55473,1.4515647896169142,0.55473,1.4515647896169142,0.58498,1.5307201172283862,0.38216,1.0
192,64,4,VisBuf,0.70196,1.0844,1.5448173685110262,1.0844,1.5448173685110262,1.11018,1.5815431078693942,0.70196,1.0
192,96,4,VisBuf,1.01543,1.63101,1.6062259338408358,1.63101,1.6062259338408358,1.63532,1.6104704410939208,1.01543,1.0
192,128,4,VisBuf,1.32954,2.16607,1.6291875385471668,2.16607,1.6291875385471668,2.18271,1.641703145448802,1.32954,1.0
192,192,4,VisBuf,1.96165,3.23545,1.6493513113960188,3.23545,1.6493513113960188,3.24322,1.6533122626360464,1.96165,1.0
384,0,1,Forward,0.03443,0.06094,1.7699680511182108,0.03443,1.0,0.06094,1.7699680511182108,0.06829,1.9834446703456288
384,1,1,Forward,0.05957,0.08282,1.3902971294275643,0.05957,1.0,0.08998,1.5104918583179454,0.08282,1.3902971294275643
384,2,1,Forward,0.08234,0.08965,1.088778236580034,0.08234,1.0,0.11252,1.3665290259897984,0.08965,1.088778236580034
384,4,4,VisBuf,0.10847,0.12657,1.166866414676869,0.12657,1.166866414676869,0.15671,1.4447312621001198,0.10847,1.0
384,8,4,VisBuf,0.14534,0.21744,1.4960781615522223,0.21744,1.4960781615522223,0.24845,1.709439933947984,0.14534,1.0
384,16,4,VisBuf,0.22622,0.3993,1.765095924321457,0.3993,1.765095924321457,0.42928,1.8976217841039695,0.22622,1.0
384,32,4,VisBuf,0.37874,0.76508,2.020066536410202,0.76508,2.020066536410202,0.7943,2.0972170882399532,0.37874,1.0
384,64,4,VisBuf,0.69494,1.51154,2.1750654732782686,1.51154,2.1750654732782686,1.53638,2.2108095662934932,0.69494,1.0
384,96,4,VisBuf,1.00407,2.24915,2.2400330654237255,2.24915,2.2400330654237255,2.24918,2.240062943818658,1.00407,1.0
384,128,4,VisBuf,1.32763,2.98732,2.2501148663407724,2.98732,2.2501148663407724,3.00253,2.26157137154177,1.32763,1.0
384,192,4,VisBuf,1.96467,4.46064,2.2704270946265783,4.46064,2.2704270946265783,4.47396,2.2772068591671886,1.96467,1.0
