frame,px,py,pz,qx,qy,qz,qw
1080,29.1161823,17.0134792,-22.9146690,0.1274836,-0.4713164,0.0690662,0.8699647
1090,29.9408398,16.0132027,-23.4806194,0.1171092,-0.4524767,0.0600778,0.8820096
1100,31.2211857,15.0128183,-23.4300995,0.1083355,-0.4451156,0.0543508,0.8872325
1110,32.6295700,14.0082426,-23.2440014,0.0971329,-0.4310865,0.0467408,0.8958487
1120,33.4958611,13.0082941,-22.6574078,0.0815682,-0.4183483,0.0377549,0.9038285
1130,34.1539001,12.6061096,-21.9052258,0.0685577,-0.4025115,0.0302466,0.9123429
1140,34.8279839,12.6061096,-21.1666756,0.0685577,-0.4025115,0.0302466,0.9123429
1150,34.7632828,12.6061096,-19.7487240,0.0685577,-0.4025115,0.0302466,0.9123429
1160,34.6989098,12.6061096,-18.3379917,0.0685577,-0.4025115,0.0302466,0.9123429
1170,34.6345291,12.6061096,-16.9271984,0.0685577,-0.4025115,0.0302466,0.9123429
1180,34.5001602,12.6061096,-15.5793972,0.0685577,-0.4025115,0.0302466,0.9123429
1190,33.7598228,12.6061096,-14.9036713,0.0685577,-0.4025115,0.0302466,0.9123429
1200,33.0267677,12.6061096,-14.2345963,0.0685577,-0.4025115,0.0302466,0.9123429
1210,32.2803841,12.6061096,-13.5533562,0.0685577,-0.4025115,0.0302466,0.9123429
1220,31.5438137,12.6061096,-12.8903999,0.1146715,-0.4058849,0.0514154,0.9052427
1230,30.8100605,12.6061096,-12.2030792,0.1548485,-0.3720970,0.0631086,0.9130077
1240,30.1398735,11.9137774,-11.4649887,0.1833380,-0.3372187,0.0671312,0.9209583
1250,29.5065746,10.9130220,-10.6901760,0.2051092,-0.3218367,0.0716326,0.9215314
1260,28.8845425,9.9112091,-9.9048672,0.2052166,-0.3204542,0.0713249,0.9220130
1270,28.2626839,8.9085350,-9.1183243,0.2052166,-0.3204542,0.0713249,0.9220130
1280,28.0155067,7.9062977,-8.8056879,0.2052166,-0.3204542,0.0713249,0.9220130
1290,28.0155067,6.9099536,-8.8056879,0.2052166,-0.3204542,0.0713249,0.9220130
1300,28.0155067,5.9076729,-8.8056879,0.1491366,-0.3059803,0.0485959,0.9390275
1310,28.0155067,4.9030199,-8.8056879,0.0811589,-0.3101042,0.0265802,0.9468591
1320,27.4861069,4.0081005,-8.0841532,0.0811589,-0.3101048,0.0265803,0.9468589
