sweep,x_value,renderer_name,total_time_avg_ms,total_time_min_ms,total_time_max_ms,observations
material-assign-max-open,2.0,DonutVisGBuffer,0.11651,0.11651,0.11651,1
material-assign-max-open,4.0,DonutDeferredPrepass,0.0621,0.0621,0.0621,1
material-assign-max-open,4.0,DonutVisGBuffer,0.11626,0.11626,0.11626,1
material-assign-max-open,8.0,DonutDeferredPrepass,0.062,0.062,0.062,1
material-assign-max-open,8.0,DonutVisGBuffer,0.11649,0.11649,0.11649,1
material-assign-max-open,16.0,DonutDeferredPrepass,0.06206,0.06206,0.06206,1
material-assign-max-open,16.0,DonutVisGBuffer,0.11649,0.11649,0.11649,1
material-assign-max-open,32.0,DonutDeferredPrepass,0.0622,0.0622,0.0622,1
material-assign-max-open,32.0,DonutVisGBuffer,0.11626,0.11626,0.11626,1
material-assign-max-open,48.0,DonutDeferredPrepass,0.06201,0.06201,0.06201,1
material-assign-max-open,48.0,DonutVisGBuffer,0.11641,0.11641,0.11641,1
material-assign-max-open,64.0,DonutDeferredPrepass,0.0621,0.06199,0.06224,4
material-assign-max-open,64.0,DonutVisGBuffer,0.1164075,0.11629,0.11656,4
material-assign-max-open,80.0,DonutDeferredPrepass,0.06206,0.06206,0.06206,1
material-assign-max-open,80.0,DonutVisGBuffer,0.1165,0.1165,0.1165,1
material-assign-max-open,96.0,DonutDeferredPrepass,0.06197,0.06197,0.06197,1
material-assign-max-open,96.0,DonutVisGBuffer,0.11628,0.11628,0.11628,1
material-assign-max-open,112.0,DonutDeferredPrepass,0.06208,0.06208,0.06208,1
material-assign-max-open,112.0,DonutVisGBuffer,0.11625,0.11625,0.11625,1
material-assign-max-open,128.0,DonutDeferredPrepass,0.06195,0.06195,0.06195,1
material-assign-max-open,128.0,DonutVisGBuffer,0.11659,0.11659,0.11659,1
material-assign-max-open,144.0,DonutDeferredPrepass,0.06194,0.06194,0.06194,1
material-assign-max-open,144.0,DonutVisGBuffer,0.11695,0.11695,0.11695,1
material-assign-max-open,160.0,DonutDeferredPrepass,0.06215,0.06215,0.06215,1
material-assign-max-open,160.0,DonutVisGBuffer,0.11661,0.11661,0.11661,1
material-assign-max-open,176.0,DonutDeferredPrepass,0.06185,0.06185,0.06185,1
material-assign-max-open,176.0,DonutVisGBuffer,0.11724,0.11724,0.11724,1
material-assign-max-open,192.0,DonutDeferredPrepass,0.06243,0.06243,0.06243,1
material-assign-max-open,192.0,DonutVisGBuffer,0.11701,0.11701,0.11701,1
material-assign-max-open,208.0,DonutDeferredPrepass,0.06206,0.06206,0.06206,1
material-assign-max-open,208.0,DonutVisGBuffer,0.1163,0.1163,0.1163,1
material-assign-max-open,224.0,DonutDeferredPrepass,0.0622,0.0622,0.0622,1
material-assign-max-open,224.0,DonutVisGBuffer,0.11654,0.11654,0.11654,1
material-assign-max-open,240.0,DonutDeferredPrepass,0.06215,0.06215,0.06215,1
material-assign-max-open,240.0,DonutVisGBuffer,0.1163,0.1163,0.1163,1
material-assign-max-open,255.0,DonutDeferredPrepass,0.06213,0.06213,0.06213,1
material-assign-max-open,255.0,DonutVisGBuffer,0.11633,0.11633,0.11633,1
