frame,total,geometry,lighting,index_count
510,1.40894,1.38280,0.01898,4649973.00000
520,1.40869,1.38288,0.01857,4649973.00000
530,1.48270,1.45665,0.01869,4649973.00000
540,1.48570,1.45933,0.01889,4649973.00000
550,1.53791,1.51154,0.01902,4889201.10000
560,1.56979,1.54298,0.01950,4808830.80000
570,1.60688,1.58149,0.01829,4297629.90000
580,1.62530,1.60095,0.01739,3585789.60000
590,1.61231,1.58724,0.01838,5050871.70000
600,2.44764,2.41697,0.02304,7428586.80000
610,2.43285,2.39677,0.02862,9154439.10000
620,2.61033,2.56786,0.03500,9521362.20000
630,2.62452,2.57970,0.03734,9517167.00000
640,2.64468,2.59885,0.03855,9459631.80000
650,2.79070,2.74358,0.03976,9421272.60000
660,2.86508,2.81266,0.04515,10768835.40000
670,2.85794,2.80599,0.04476,10858999.20000
680,2.71429,2.66317,0.04381,10858885.50000
690,2.64380,2.59389,0.04253,10855368.00000
700,2.86805,2.81945,0.04147,10855368.00000
710,2.90101,2.85294,0.04050,10855368.00000
720,2.82852,2.78222,0.03911,10673067.00000
730,2.72062,2.67686,0.03659,10593060.00000
740,2.70538,2.66447,0.03359,10404744.00000
750,2.84522,2.80528,0.03279,10279200.00000
760,3.04212,3.00060,0.03438,10437937.50000
770,3.19576,3.15138,0.03710,10766673.60000
780,3.23064,3.18406,0.03886,10864798.80000
790,3.20152,3.15741,0.03694,9787313.40000
800,3.27548,3.23202,0.03638,9664446.60000
810,3.23368,3.19188,0.03466,9667598.40000
820,3.23768,3.19653,0.03397,9667593.00000
830,3.31411,3.27396,0.03291,9667602.00000
840,3.50598,3.46620,0.03263,9667602.60000
850,3.68984,3.65174,0.03059,9667603.20000
860,3.64030,3.60456,0.02854,9667607.40000
870,3.49920,3.46314,0.03003,10385949.00000
880,4.00994,3.98398,0.01884,10864839.00000
890,4.29082,4.26507,0.01826,10864839.00000
900,4.35612,4.32859,0.01962,10864835.40000
910,4.50170,4.46838,0.02612,10864828.20000
920,4.21418,4.17520,0.03094,10864825.20000
930,4.17028,4.13272,0.03008,10864821.00000
940,4.20959,4.17181,0.03058,10864821.00000
950,4.13871,4.10013,0.03102,10864821.00000
960,4.28612,4.24555,0.03318,10864818.00000
970,4.19216,4.15050,0.03377,10864786.20000
980,3.97503,3.93332,0.03462,10864773.00000
990,3.79952,3.75768,0.03414,10864773.00000
1000,3.65146,3.61497,0.02911,10625328.60000
1010,3.44895,3.41482,0.02658,9667551.00000
1020,3.28344,3.24555,0.03019,9667551.00000
1030,3.11246,3.07322,0.03199,9667551.00000
1040,2.99246,2.95385,0.03135,9667551.00000
1050,2.73396,2.69320,0.03377,10146439.80000
1060,2.83847,2.79596,0.03547,10864773.00000
1070,3.01456,2.97152,0.03580,10864773.00000
1080,2.97160,2.93007,0.03422,10025094.60000
1090,3.03400,2.99368,0.03272,9329834.40000
1100,3.03305,2.99240,0.03346,9156234.00000
1110,3.26359,3.22322,0.03292,9156234.00000
1120,3.44860,3.40673,0.03454,9156234.00000
1130,3.73054,3.69129,0.03210,9153888.00000
1140,3.48014,3.44232,0.02970,8888382.00000
1150,2.66659,2.63236,0.02629,6681090.00000
1160,3.01293,2.98184,0.02342,7146947.40000
1170,3.26328,3.22455,0.03110,9101922.00000
1180,3.06455,3.02436,0.03274,9097980.00000
1190,3.17095,3.13052,0.03306,9099990.00000
1200,3.43590,3.39866,0.02952,9103005.00000
1210,3.35117,3.31358,0.03010,9103881.00000
1220,3.53873,3.49917,0.03190,9103005.00000
1230,3.10154,3.06426,0.02943,9103013.40000
1240,3.33342,3.29777,0.02808,9103039.20000
1250,3.39376,3.35801,0.02843,9100531.50000
1260,3.27330,3.23615,0.02986,9094303.20000
1270,3.33201,3.29603,0.02896,9091825.20000
1280,3.51432,3.48049,0.02600,8847516.90000
1290,2.94435,2.91141,0.02471,8728518.00000
1300,2.30564,2.27042,0.02664,8236771.20000
