frame,total,forward,index_count
820,12.96418,12.95907,9667593.00000
830,13.15050,13.14544,9667602.00000
840,13.67706,13.67230,9667602.60000
850,14.51420,14.50915,9667603.20000
860,14.59788,14.57580,9667607.40000
870,13.54828,13.54312,10385949.00000
880,15.75985,15.75472,10864839.00000
890,16.51465,16.50921,10864839.00000
900,16.92248,16.91744,10864835.40000
910,17.62228,17.61735,10864828.20000
920,15.71591,15.71047,10864825.20000
930,16.84902,16.84368,10864821.00000
940,16.45957,16.45450,10864821.00000
950,16.23429,16.22933,10864821.00000
960,16.20816,16.20293,10864818.00000
970,16.32558,16.32046,10864786.20000
980,15.28805,15.28292,10864773.00000
990,14.46957,14.46454,10864773.00000
1000,14.28831,14.25361,10625328.60000
1010,13.93121,13.89322,9667551.00000
1020,12.93934,12.93446,9667551.00000
1030,12.48256,12.47736,9667551.00000
1040,11.84410,11.83922,9667551.00000
1050,11.32594,11.31733,10146439.80000
1060,11.94628,11.90829,10864773.00000
1070,12.66795,12.66288,10864773.00000
1080,12.24630,12.20866,10025094.60000
1090,11.72616,11.72134,9329834.40000
1100,12.11230,12.07806,9156234.00000
1110,12.66434,12.65918,9156234.00000
1120,13.06834,13.01413,9156234.00000
1130,13.80050,13.79551,9153888.00000
1140,12.56707,12.53056,8888382.00000
1150,10.47582,10.44684,6681090.00000
1160,11.05398,11.04938,7146947.40000
1170,12.98039,12.94178,9101922.00000
1180,12.47862,12.44765,9097980.00000
1190,12.35381,12.34878,9099990.00000
1200,13.15572,13.15077,9103005.00000
1210,13.56176,13.55686,9103881.00000
1220,12.44160,12.43597,9103005.00000
1230,12.31282,12.30803,9103013.40000
1240,12.74324,12.73850,9103039.20000
1250,12.81911,12.81435,9100531.50000
1260,12.59742,12.59227,9094303.20000
1270,11.70643,11.66706,9091825.20000
1280,13.95477,13.94948,8847516.90000
1290,11.11442,11.10949,8728518.00000
1300,10.39625,10.37244,8236771.20000
1310,10.06730,10.06247,6191688.00000
1320,11.24072,11.19001,6862126.50000
1330,11.04499,11.03935,5573805.00000
1340,11.11001,11.05444,6060954.00000
1350,11.87507,11.85054,6881545.80000
1360,15.80075,15.79560,9634320.90000
1370,15.27280,15.26726,10864779.00000
1380,15.23310,15.22796,10864773.60000
1390,15.39412,15.36042,10864773.00000
1400,16.35112,16.34600,10864774.80000
1410,15.78508,15.77995,10566703.20000
1420,13.28570,13.28072,10592118.60000
1430,15.14837,15.14307,10864791.00000
1440,14.57764,14.57237,10864798.20000
1450,14.39268,14.38756,10864803.00000
1460,15.41048,15.38823,10864803.00000
1470,14.76007,14.75518,10864803.00000
1480,15.23184,15.22687,10864807.80000
1490,14.82241,14.81686,10864813.20000
1500,15.04405,15.03901,10864818.60000
1510,15.23972,15.23482,10864824.00000
1520,14.51246,14.50772,10864827.00000
1530,13.20564,13.20098,10864822.20000
1540,12.56982,12.56515,10864824.00000
1550,12.38077,12.37598,10864827.00000
1560,12.11085,12.10588,10864828.20000
1570,11.31806,11.31323,10869039.60000
1580,10.72004,10.71522,10951032.60000
1590,10.44052,10.43545,10974487.80000
1600,9.66682,9.66210,10974497.40000
1610,8.87493,8.87039,10974504.00000
1620,8.62038,8.61572,10974501.00000
1630,8.16414,8.15952,10974495.00000
