frame,total,visibility,resolve,index_count
1000,3.98114,0.33973,3.60249,10625328.60000
1010,3.94876,0.30799,3.60258,9667551.00000
1020,3.91123,0.30108,3.60204,9667551.00000
1030,3.90458,0.29484,3.60208,9667551.00000
1040,3.93478,0.29652,3.60170,9667551.00000
1050,3.94619,0.30351,3.60166,10146439.80000
1060,3.96725,0.32780,3.60227,10864773.00000
1070,3.94383,0.33295,3.60267,10864773.00000
1080,3.98870,0.31190,3.60290,10025094.60000
1090,3.89203,0.28130,3.60197,9329834.40000
1100,3.89006,0.27892,3.60221,9156234.00000
1110,3.91669,0.27628,3.60218,9156234.00000
1120,3.92286,0.27712,3.63764,9156234.00000
1130,3.98784,0.27796,3.67194,9153888.00000
1140,3.87435,0.26255,3.60162,8888382.00000
1150,3.82723,0.20629,3.60343,6681090.00000
1160,3.81245,0.20246,3.60276,7146947.40000
1170,3.95068,0.27984,3.60202,9101922.00000
1180,3.89957,0.26933,3.60150,9097980.00000
1190,3.94877,0.26950,3.67097,9099990.00000
1200,3.93334,0.27396,3.65079,9103005.00000
1210,3.93687,0.27197,3.65725,9103881.00000
1220,3.97697,0.26676,3.67057,9103005.00000
1230,3.90718,0.26658,3.60126,9103013.40000
1240,3.91028,0.27286,3.60114,9103039.20000
1250,4.01968,0.27097,3.74043,9100531.50000
1260,3.94301,0.26377,3.67135,9094303.20000
1270,3.87210,0.26260,3.60196,9091825.20000
1280,3.86824,0.25929,3.60111,8847516.90000
1290,3.89284,0.25331,3.60150,8728518.00000
1300,3.85249,0.24263,3.60241,8236771.20000
