frame,total,visibility,gbuffer,lighting,tonemap,index_count
1940,1.26847,0.29638,0.28681,0.59136,0.07482,1287316.50000
1950,1.26533,0.29405,0.28652,0.59138,0.07453,1255536.00000
1960,1.26664,0.29328,0.28763,0.59150,0.07485,1255159.80000
1970,1.26981,0.29404,0.29052,0.59138,0.07495,1232970.60000
1980,1.27125,0.29498,0.28988,0.59268,0.07472,1172712.00000
1990,1.26424,0.29281,0.28570,0.59184,0.07474,1158771.90000
2000,1.25678,0.28706,0.28543,0.59097,0.07480,1147062.00000
2010,1.25024,0.28190,0.28411,0.59089,0.07453,1144353.00000
2020,1.23750,0.27052,0.28273,0.59081,0.07474,1162284.60000
2030,1.22979,0.26362,0.28246,0.59064,0.07472,1090198.20000
2040,1.23111,0.26425,0.28265,0.59082,0.07448,998284.80000
2050,1.22741,0.26218,0.28111,0.59062,0.07483,861431.40000
2060,1.21930,0.25552,0.27993,0.59053,0.07456,844934.40000
2070,1.21849,0.25652,0.27813,0.59064,0.07462,772905.60000
2080,1.22089,0.25954,0.27733,0.59050,0.07479,764781.00000
2090,1.22447,0.26393,0.27634,0.59095,0.07457,760483.80000
2100,1.22442,0.26496,0.27525,0.59078,0.07447,745395.00000
2110,1.21458,0.25579,0.27535,0.59046,0.07446,733070.40000
2120,1.20668,0.24951,0.27395,0.59057,0.07441,729492.00000
2130,1.20368,0.24798,0.27203,0.59077,0.07436,720139.50000
2140,1.20472,0.24988,0.27120,0.59061,0.07459,713475.00000
2150,1.20380,0.24908,0.27123,0.59036,0.07452,705677.40000
2160,1.19668,0.24183,0.27129,0.59034,0.07427,695272.20000
2170,1.18603,0.23183,0.27000,0.59058,0.07452,670782.60000
2180,1.17973,0.22804,0.26829,0.59054,0.07440,645144.60000
2190,1.18055,0.22905,0.26681,0.59085,0.07518,637518.00000
2200,1.17940,0.22782,0.26724,0.59063,0.07498,633843.00000
2210,1.17335,0.22330,0.26616,0.59070,0.07466,626791.80000
2220,1.16261,0.21522,0.26400,0.59031,0.07463,623481.00000
2230,1.15430,0.20883,0.26211,0.59042,0.07431,620500.20000
2240,1.15025,0.20720,0.25932,0.59050,0.07468,620157.00000
2250,1.15098,0.20990,0.25700,0.59038,0.07498,615527.40000
2260,1.14570,0.20746,0.25492,0.59025,0.07496,589299.30000
2270,1.13177,0.19462,0.25400,0.59022,0.07441,571177.20000
2280,1.10886,0.18262,0.24585,0.58853,0.07355,550159.20000
2290,1.04767,0.15500,0.22666,0.57899,0.06906,508759.50000
2300,0.97552,0.11692,0.20941,0.56791,0.06343,314115.30000
2310,0.92461,0.08427,0.20222,0.56302,0.05869,315550.50000
2320,0.91360,0.06940,0.20605,0.56183,0.05918,308115.00000
2330,0.92406,0.07710,0.20699,0.56277,0.05974,327744.30000
