scene,resolution,variant,metric,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
Sponza,1024x576,9,V9 total,0.546904,0.607000,0.781298,0.893357,0.091300,0.910060
Sponza,1024x576,9,V9 visibility,0.152667,0.137205,0.346931,0.352507,0.001930,0.353840
Sponza,1024x576,9,V9 gbuffer,0.310029,0.327965,0.503960,0.595357,0.018690,0.609830
Sponza,4096x2304,8,V8 total,1.877662,1.891200,2.849422,2.948571,0.404970,2.951060
Sponza,4096x2304,8,V8 depth_prepass,0.145642,0.140490,0.260686,0.278922,0.005480,0.284580
Sponza,4096x2304,8,V8 geometry,1.250833,1.317485,2.137819,2.211621,0.016210,2.237570
Sponza,4096x2304,9,V9 total,2.722585,2.879885,3.910519,4.700994,0.580130,4.744360
Sponza,4096x2304,9,V9 visibility,0.281727,0.280720,0.454350,0.489355,0.010940,0.493820
Sponza,4096x2304,9,V9 gbuffer,1.733689,1.903270,2.840858,3.471403,0.034330,3.528680
Sponza,8192x4608,8,V8 total,5.183818,5.302935,7.452252,7.695853,1.582670,7.705410
Sponza,8192x4608,8,V8 depth_prepass,0.309346,0.310065,0.516007,0.610605,0.013820,0.614750
Sponza,8192x4608,8,V8 geometry,2.945436,3.006340,4.984337,5.490057,0.064190,5.527580
Sponza,8192x4608,9,V9 total,7.516736,7.901855,9.905545,11.199960,2.184410,11.226790
Sponza,8192x4608,9,V9 visibility,0.740712,0.780910,1.188404,1.279509,0.034970,1.331870
Sponza,8192x4608,9,V9 gbuffer,3.872170,3.965970,6.217663,6.867843,0.082270,6.918970
Sun Temple,16x9,8,V8 total,0.054756,0.049305,0.094372,0.095596,0.026620,0.095660
Sun Temple,16x9,8,V8 depth_prepass,0.017493,0.014525,0.037266,0.037771,0.003480,0.037800
Sun Temple,16x9,8,V8 geometry,0.018428,0.015950,0.037243,0.038032,0.004530,0.038110
Sun Temple,16x9,9,V9 total,0.090454,0.086835,0.115851,0.118373,0.070140,0.118520
Sun Temple,16x9,9,V9 visibility,0.024681,0.021015,0.050071,0.051522,0.004450,0.051620
Sun Temple,16x9,9,V9 gbuffer,0.022082,0.022070,0.022232,0.022290,0.021860,0.022300
Sun Temple,64x36,8,V8 total,0.055821,0.049540,0.098265,0.101106,0.026450,0.101140
Sun Temple,64x36,8,V8 depth_prepass,0.018157,0.015125,0.039216,0.040600,0.003710,0.040610
Sun Temple,64x36,8,V8 geometry,0.019055,0.015995,0.039682,0.040951,0.004790,0.040980
Sun Temple,64x36,9,V9 total,0.091662,0.087920,0.118346,0.120331,0.070640,0.120370
Sun Temple,64x36,9,V9 visibility,0.025746,0.021975,0.052292,0.053475,0.004850,0.053480
Sun Temple,64x36,9,V9 gbuffer,0.022398,0.022400,0.022531,0.022580,0.022080,0.022580
Sun Temple,256x144,8,V8 total,0.056997,0.051470,0.098571,0.101735,0.029870,0.101760
Sun Temple,256x144,8,V8 depth_prepass,0.018057,0.015255,0.038773,0.040380,0.004300,0.040390
Sun Temple,256x144,8,V8 geometry,0.019569,0.016995,0.039594,0.041131,0.006350,0.041170
Sun Temple,256x144,9,V9 total,0.096250,0.091770,0.124621,0.126443,0.073720,0.126610
Sun Temple,256x144,9,V9 visibility,0.027447,0.023360,0.055687,0.056594,0.006130,0.056770
Sun Temple,256x144,9,V9 gbuffer,0.023699,0.023555,0.024395,0.024816,0.023000,0.024860
Sun Temple,1024x576,8,V8 total,0.099234,0.095540,0.125343,0.126813,0.070220,0.126980
Sun Temple,1024x576,8,V8 depth_prepass,0.022657,0.021390,0.038556,0.039631,0.008880,0.039660
Sun Temple,1024x576,8,V8 geometry,0.036816,0.035555,0.046590,0.049951,0.021430,0.051230
Sun Temple,1024x576,9,V9 total,0.170107,0.167905,0.195141,0.205837,0.134450,0.210570
Sun Temple,1024x576,9,V9 visibility,0.037438,0.033395,0.064612,0.067870,0.013840,0.069340
Sun Temple,1024x576,9,V9 gbuffer,0.052804,0.054480,0.056807,0.057941,0.041810,0.057980
Sun Temple,4096x2304,8,V8 total,0.904343,0.905610,0.988754,1.034993,0.706160,1.040800
Sun Temple,4096x2304,8,V8 depth_prepass,0.093064,0.094415,0.136823,0.156366,0.032470,0.162530
Sun Temple,4096x2304,8,V8 geometry,0.327558,0.331785,0.377423,0.403237,0.210330,0.411190
Sun Temple,4096x2304,9,V9 total,1.584793,1.618155,1.755167,1.840484,1.179990,1.855390
Sun Temple,4096x2304,9,V9 visibility,0.254623,0.252240,0.336982,0.437567,0.111070,0.452850
Sun Temple,4096x2304,9,V9 gbuffer,0.601285,0.637035,0.664757,0.688470,0.395520,0.707110
Sun Temple,8192x4608,8,V8 total,3.464970,3.481645,3.746196,3.900007,2.748530,3.918720
Sun Temple,8192x4608,8,V8 depth_prepass,0.265274,0.260765,0.360567,0.492389,0.099180,0.508500
Sun Temple,8192x4608,8,V8 geometry,1.228744,1.263010,1.396489,1.460967,0.801360,1.480410
Sun Temple,8192x4608,9,V9 total,6.363117,6.543760,7.094242,7.416066,4.691200,7.430340
Sun Temple,8192x4608,9,V9 visibility,0.909814,0.851190,1.217272,1.596269,0.393710,1.632720
Sun Temple,8192x4608,9,V9 gbuffer,2.428443,2.485370,2.781217,2.833579,1.544750,2.838910
Zero Day Measure One,16x9,8,V8 total,0.423467,0.461120,0.735701,0.817933,0.031740,0.822590
Zero Day Measure One,16x9,8,V8 depth_prepass,0.154313,0.173005,0.268348,0.295695,0.005930,0.297090
Zero Day Measure One,16x9,8,V8 geometry,0.247914,0.266145,0.447428,0.500691,0.007530,0.504000
Zero Day Measure One,16x9,9,V9 total,0.432657,0.464915,0.728356,0.801590,0.075900,0.805640
Zero Day Measure One,16x9,9,V9 visibility,0.360441,0.392070,0.651428,0.725882,0.008970,0.730290
Zero Day Measure One,16x9,9,V9 gbuffer,0.025071,0.025380,0.026742,0.027290,0.022720,0.027360
Zero Day Measure One,64x36,8,V8 total,0.447664,0.493540,0.778932,0.853734,0.031720,0.857750
Zero Day Measure One,64x36,8,V8 depth_prepass,0.172759,0.194925,0.303198,0.328862,0.006060,0.330100
Zero Day Measure One,64x36,8,V8 geometry,0.254177,0.276910,0.454545,0.503526,0.007620,0.506270
Zero Day Measure One,64x36,9,V9 total,0.442724,0.478760,0.740729,0.815989,0.075040,0.820310
Zero Day Measure One,64x36,9,V9 visibility,0.370160,0.404620,0.665381,0.740106,0.009250,0.744430
Zero Day Measure One,64x36,9,V9 gbuffer,0.026016,0.026980,0.027588,0.028674,0.022860,0.028830
Zero Day Measure One,256x144,8,V8 total,0.476931,0.519705,0.842764,0.924955,0.033770,0.929220
Zero Day Measure One,256x144,8,V8 depth_prepass,0.187798,0.205770,0.338457,0.368885,0.006280,0.370280
Zero Day Measure One,256x144,8,V8 geometry,0.266285,0.290135,0.479537,0.533148,0.008810,0.536250
Zero Day Measure One,256x144,9,V9 total,0.464591,0.496260,0.781594,0.864162,0.078630,0.868900
Zero Day Measure One,256x144,9,V9 visibility,0.388744,0.419800,0.702507,0.783809,0.009610,0.788440
Zero Day Measure One,256x144,9,V9 gbuffer,0.028130,0.028060,0.031145,0.031620,0.023750,0.031680
Zero Day Measure One,1024x576,8,V8 total,0.517400,0.544040,0.896150,0.988467,0.080580,0.993690
Zero Day Measure One,1024x576,8,V8 depth_prepass,0.194204,0.207505,0.354386,0.392565,0.010980,0.394640
Zero Day Measure One,1024x576,8,V8 geometry,0.279063,0.292620,0.496305,0.549600,0.030760,0.552630
Zero Day Measure One,1024x576,9,V9 total,0.569198,0.602820,0.904013,0.994382,0.156010,1.000350
Zero Day Measure One,1024x576,9,V9 visibility,0.422974,0.450910,0.749172,0.836162,0.024310,0.841470
Zero Day Measure One,1024x576,9,V9 gbuffer,0.061935,0.065910,0.073958,0.075960,0.039740,0.076230
Zero Day Measure One,4096x2304,8,V8 total,1.286474,1.204540,1.723522,1.804184,0.849790,1.808040
Zero Day Measure One,4096x2304,8,V8 depth_prepass,0.232256,0.242195,0.389496,0.411482,0.054830,0.411720
Zero Day Measure One,4096x2304,8,V8 geometry,0.596163,0.535595,0.863329,0.922142,0.353450,0.926610
Zero Day Measure One,4096x2304,9,V9 total,1.906659,1.833585,2.413900,2.466705,1.479300,2.467230
Zero Day Measure One,4096x2304,9,V9 visibility,0.577137,0.595200,0.936311,0.988826,0.190030,0.989060
Zero Day Measure One,4096x2304,9,V9 gbuffer,0.624547,0.694985,0.741585,0.742874,0.277920,0.742970
Zero Day Measure One,8192x4608,8,V8 total,4.035970,4.124795,4.878030,4.961889,3.013840,4.962110
Zero Day Measure One,8192x4608,8,V8 depth_prepass,0.465938,0.439365,0.651607,0.715416,0.247030,0.722610
Zero Day Measure One,8192x4608,8,V8 geometry,1.742161,1.902095,2.276925,2.374311,0.899230,2.383750
Zero Day Measure One,8192x4608,9,V9 total,6.363146,6.624590,7.294662,7.414949,4.332060,7.431580
Zero Day Measure One,8192x4608,9,V9 visibility,1.142285,1.072980,1.552754,1.670600,0.721170,1.685510
Zero Day Measure One,8192x4608,9,V9 gbuffer,2.364570,2.644470,2.752768,2.760526,1.056730,2.761500
