scene,renderer,raster_metric,gpu_metric,pearson_r,window_count
Sponza Ivy,DeferredPrepass,quad_waste_lanes,lighting,-0.2949862232968025,42
Sponza Ivy,DeferredPrepass,quad_waste_lanes,tonemap,0.5725760963985108,42
Sponza Ivy,DeferredPrepass,quad_waste_lanes,index_count,0.8441309509559005,42
Sponza Ivy,VisBuf,triangle_count,total,0.8513933038738444,42
Sponza Ivy,VisBuf,triangle_count,visibility,0.9859305497412543,42
Sponza Ivy,VisBuf,triangle_count,visutil_histogram,0.6759291367270228,42
Sponza Ivy,VisBuf,triangle_count,visutil_prefix,0.7023173480609631,42
Sponza Ivy,VisBuf,triangle_count,visutil_flatten,0.3570428484743709,42
Sponza Ivy,VisBuf,triangle_count,gbuffer,0.6921613452867464,42
Sponza Ivy,VisBuf,triangle_count,lighting,-0.4255797268971583,42
Sponza Ivy,VisBuf,triangle_count,tonemap,0.3226645397033302,42
Sponza Ivy,VisBuf,triangle_count,index_count,0.9999999999999998,42
Sponza Ivy,VisBuf,total_fragments,total,0.5858851144757581,42
Sponza Ivy,VisBuf,total_fragments,visibility,0.5250659374898949,42
Sponza Ivy,VisBuf,total_fragments,visutil_histogram,0.9303955636012096,42
Sponza Ivy,VisBuf,total_fragments,visutil_prefix,0.6228504663417369,42
Sponza Ivy,VisBuf,total_fragments,visutil_flatten,0.8648612319700377,42
Sponza Ivy,VisBuf,total_fragments,gbuffer,0.5444094610334282,42
Sponza Ivy,VisBuf,total_fragments,lighting,0.20360068573072038,42
Sponza Ivy,VisBuf,total_fragments,tonemap,0.8564230060156294,42
Sponza Ivy,VisBuf,total_fragments,index_count,0.5795858285879729,42
Sponza Ivy,VisBuf,covered_pixels,total,0.47497762064913335,42
Sponza Ivy,VisBuf,covered_pixels,visibility,0.21852302308831598,42
Sponza Ivy,VisBuf,covered_pixels,visutil_histogram,0.8404498505313057,42
Sponza Ivy,VisBuf,covered_pixels,visutil_prefix,0.44805462786320477,42
Sponza Ivy,VisBuf,covered_pixels,visutil_flatten,0.9881085104048489,42
Sponza Ivy,VisBuf,covered_pixels,gbuffer,0.5468958206790103,42
Sponza Ivy,VisBuf,covered_pixels,lighting,0.5047309109813,42
Sponza Ivy,VisBuf,covered_pixels,tonemap,0.9505028578620297,42
Sponza Ivy,VisBuf,covered_pixels,index_count,0.257488911911708,42
Sponza Ivy,VisBuf,avg_overdraw,total,0.7316693149783275,42
Sponza Ivy,VisBuf,avg_overdraw,visibility,0.7699841502726495,42
Sponza Ivy,VisBuf,avg_overdraw,visutil_histogram,0.8576778582892841,42
Sponza Ivy,VisBuf,avg_overdraw,visutil_prefix,0.7376645449990681,42
Sponza Ivy,VisBuf,avg_overdraw,visutil_flatten,0.7047843083471881,42
Sponza Ivy,VisBuf,avg_overdraw,gbuffer,0.6272168355426782,42
Sponza Ivy,VisBuf,avg_overdraw,lighting,-0.04727508389966385,42
Sponza Ivy,VisBuf,avg_overdraw,tonemap,0.7117907843031331,42
Sponza Ivy,VisBuf,avg_overdraw,index_count,0.7973707810995648,42
Sponza Ivy,VisBuf,quad_efficiency,total,0.3866142742960297,42
Sponza Ivy,VisBuf,quad_efficiency,visibility,0.17402931654761328,42
Sponza Ivy,VisBuf,quad_efficiency,visutil_histogram,0.6571388601783269,42
Sponza Ivy,VisBuf,quad_efficiency,visutil_prefix,0.39562894015652406,42
Sponza Ivy,VisBuf,quad_efficiency,visutil_flatten,0.8406321821079207,42
Sponza Ivy,VisBuf,quad_efficiency,gbuffer,0.4465825244533255,42
Sponza Ivy,VisBuf,quad_efficiency,lighting,0.4630209353571711,42
Sponza Ivy,VisBuf,quad_efficiency,tonemap,0.8219461397095079,42
Sponza Ivy,VisBuf,quad_efficiency,index_count,0.1936643613044891,42
Sponza Ivy,VisBuf,quad_waste_lanes,total,0.8301195255179684,42
Sponza Ivy,VisBuf,quad_waste_lanes,visibility,0.8402697579122291,42
Sponza Ivy,VisBuf,quad_waste_lanes,visutil_histogram,0.7998163080317379,42
Sponza Ivy,VisBuf,quad_waste_lanes,visutil_prefix,0.7182540271553087,42
Sponza Ivy,VisBuf,quad_waste_lanes,visutil_flatten,0.5863269847240671,42
Sponza Ivy,VisBuf,quad_waste_lanes,gbuffer,0.7344426071235473,42
Sponza Ivy,VisBuf,quad_waste_lanes,lighting,-0.20594666128200018,42
Sponza Ivy,VisBuf,quad_waste_lanes,tonemap,0.6072794078995566,42
Sponza Ivy,VisBuf,quad_waste_lanes,index_count,0.8441309509559005,42
Bistro,DeferredPrepass,triangle_count,total,0.8824281227782783,92
Bistro,DeferredPrepass,triangle_count,depth_prepass,0.9579441668846431,92
Bistro,DeferredPrepass,triangle_count,geometry,0.8262603372739553,92
Bistro,DeferredPrepass,triangle_count,lighting,-0.20042390245380604,92
Bistro,DeferredPrepass,triangle_count,tonemap,-0.3294086222549124,92
Bistro,DeferredPrepass,triangle_count,index_count,0.9999999999999998,92
Bistro,DeferredPrepass,total_fragments,total,0.16804652151250624,92
Bistro,DeferredPrepass,total_fragments,depth_prepass,0.09972324858395762,92
Bistro,DeferredPrepass,total_fragments,geometry,0.1637060366286804,92
Bistro,DeferredPrepass,total_fragments,lighting,0.31513238377650693,92
Bistro,DeferredPrepass,total_fragments,tonemap,0.33557212833162753,92
Bistro,DeferredPrepass,total_fragments,index_count,-0.1164887341903966,92
Bistro,DeferredPrepass,covered_pixels,total,0.04431478058699443,92
Bistro,DeferredPrepass,covered_pixels,depth_prepass,-0.14909662535674023,92
Bistro,DeferredPrepass,covered_pixels,geometry,0.12859816836984897,92
Bistro,DeferredPrepass,covered_pixels,lighting,0.46018077888974074,92
Bistro,DeferredPrepass,covered_pixels,tonemap,0.5336262125687917,92
Bistro,DeferredPrepass,covered_pixels,index_count,-0.2938743990941248,92
Bistro,DeferredPrepass,avg_overdraw,total,0.32786453033654467,92
Bistro,DeferredPrepass,avg_overdraw,depth_prepass,0.298410698827846,92
Bistro,DeferredPrepass,avg_overdraw,geometry,0.30240536664734574,92
Bistro,DeferredPrepass,avg_overdraw,lighting,0.21766206587465606,92
Bistro,DeferredPrepass,avg_overdraw,tonemap,0.21388364024077464,92
Bistro,DeferredPrepass,avg_overdraw,index_count,0.08817260571476428,92
Bistro,DeferredPrepass,quad_efficiency,total,-0.09192413494014041,92
Bistro,DeferredPrepass,quad_efficiency,depth_prepass,-0.2539567474385309,92
Bistro,DeferredPrepass,quad_efficiency,geometry,-0.012095942717029918,92
Bistro,DeferredPrepass,quad_efficiency,lighting,0.3620466139380914,92
Bistro,DeferredPrepass,quad_efficiency,tonemap,0.44041488245672933,92
Bistro,DeferredPrepass,quad_efficiency,index_count,-0.3720511219832258,92
Bistro,DeferredPrepass,quad_waste_lanes,total,0.6522543405095471,92
Bistro,DeferredPrepass,quad_waste_lanes,depth_prepass,0.6035080416845185,92
Bistro,DeferredPrepass,quad_waste_lanes,geometry,0.6474570787385475,92
Bistro,DeferredPrepass,quad_waste_lanes,lighting,0.1457759304431549,92
Bistro,DeferredPrepass,quad_waste_lanes,tonemap,0.11651726454038744,92
Bistro,DeferredPrepass,quad_waste_lanes,index_count,0.42966095787453473,92
Bistro,VisBuf,triangle_count,total,0.6928161784698919,92
Bistro,VisBuf,triangle_count,visibility,0.9654665598212233,92
Bistro,VisBuf,triangle_count,visutil_histogram,0.4141393863365255,92
Bistro,VisBuf,triangle_count,visutil_prefix,0.3096379140994659,92
Bistro,VisBuf,triangle_count,visutil_flatten,-0.17247370430863,92
Bistro,VisBuf,triangle_count,gbuffer,-0.18313844165074006,92
Bistro,VisBuf,triangle_count,lighting,-0.5424476480676307,92
Bistro,VisBuf,triangle_count,tonemap,-0.3810553921073992,92
Bistro,VisBuf,triangle_count,index_count,0.9999999999999998,92
Bistro,VisBuf,total_fragments,total,0.4474125765525079,92
Bistro,VisBuf,total_fragments,visibility,0.09354519276233571,92
Bistro,VisBuf,total_fragments,visutil_histogram,0.5235627147722325,92
Bistro,VisBuf,total_fragments,visutil_prefix,0.267274145699906,92
Bistro,VisBuf,total_fragments,visutil_flatten,0.6285758057979749,92
Bistro,VisBuf,total_fragments,gbuffer,0.6509012920513854,92
Bistro,VisBuf,total_fragments,lighting,0.46485152360846477,92
Bistro,VisBuf,total_fragments,tonemap,0.6493596952878998,92
Bistro,VisBuf,total_fragments,index_count,-0.1164887341903966,92
Bistro,VisBuf,covered_pixels,total,0.4515409817215054,92
Bistro,VisBuf,covered_pixels,visibility,-0.11849366941532921,92
Bistro,VisBuf,covered_pixels,visutil_histogram,0.678326129248392,92
Bistro,VisBuf,covered_pixels,visutil_prefix,0.33381623305488417,92
Bistro,VisBuf,covered_pixels,visutil_flatten,0.9760431168337015,92
Bistro,VisBuf,covered_pixels,gbuffer,0.9676321805704083,92
Bistro,VisBuf,covered_pixels,lighting,0.7942331473444393,92
Bistro,VisBuf,covered_pixels,tonemap,0.8559537439708185,92
Bistro,VisBuf,covered_pixels,index_count,-0.2938743990941248,92
Bistro,VisBuf,avg_overdraw,total,0.4506326024732731,92
Bistro,VisBuf,avg_overdraw,visibility,0.2818665079073129,92
Bistro,VisBuf,avg_overdraw,visutil_histogram,0.39238713620934595,92
Bistro,VisBuf,avg_overdraw,visutil_prefix,0.19801509492599212,92
Bistro,VisBuf,avg_overdraw,visutil_flatten,0.34134377299231655,92
Bistro,VisBuf,avg_overdraw,gbuffer,0.37349468904624317,92
Bistro,VisBuf,avg_overdraw,lighting,0.21591850420733327,92
Bistro,VisBuf,avg_overdraw,tonemap,0.44959481278019964,92
Bistro,VisBuf,avg_overdraw,index_count,0.08817260571476428,92
Bistro,VisBuf,quad_efficiency,total,0.20062823253939285,92
Bistro,VisBuf,quad_efficiency,visibility,-0.22203488188791493,92
Bistro,VisBuf,quad_efficiency,visutil_histogram,0.3444747353419471,92
Bistro,VisBuf,quad_efficiency,visutil_prefix,0.11927924012067889,92
Bistro,VisBuf,quad_efficiency,visutil_flatten,0.7012384511905669,92
Bistro,VisBuf,quad_efficiency,gbuffer,0.6605994072053749,92
Bistro,VisBuf,quad_efficiency,lighting,0.6872714079083246,92
Bistro,VisBuf,quad_efficiency,tonemap,0.6726287152157746,92
Bistro,VisBuf,quad_efficiency,index_count,-0.3720511219832258,92
Bistro,VisBuf,quad_waste_lanes,total,0.7843813887280633,92
Bistro,VisBuf,quad_waste_lanes,visibility,0.5961151734262298,92
Bistro,VisBuf,quad_waste_lanes,visutil_histogram,0.741514561804039,92
Bistro,VisBuf,quad_waste_lanes,visutil_prefix,0.42297888278110807,92
Bistro,VisBuf,quad_waste_lanes,visutil_flatten,0.4870414621922565,92
Bistro,VisBuf,quad_waste_lanes,gbuffer,0.5216174193067888,92
Bistro,VisBuf,quad_waste_lanes,lighting,0.10201818698409279,92
Bistro,VisBuf,quad_waste_lanes,tonemap,0.3752348269206547,92
Bistro,VisBuf,quad_waste_lanes,index_count,0.42966095787453473,92
