frame,total,depth_prepass,geometry,lighting,tonemap,index_count,renderer,scene,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer
3420,0.70825,,,0.09799,0.03798,3070083.2,VisBuf,Bistro,0.21469,0.03059,0.00306,0.04157,0.25813
3480,0.67742,,,0.0981,0.03777,2804740.95,VisBuf,Bistro,0.20579,0.02926,0.0028,0.04069,0.23817
3540,0.66471,,,0.10048,0.03758,2554279.0,VisBuf,Bistro,0.20185,0.0282,0.00296,0.03986,0.22772
3600,0.66651,,,0.09952,0.03763,2404749.2,VisBuf,Bistro,0.19959,0.0285,0.00303,0.04004,0.23348
3660,0.65434,,,0.09682,0.03698,2364661.4,VisBuf,Bistro,0.19077,0.02903,0.00306,0.03987,0.23386
3720,0.62709,,,0.09588,0.03619,2323845.85,VisBuf,Bistro,0.17003,0.02884,0.00277,0.03969,0.22754
3780,0.60373,,,0.0942,0.03474,2171285.25,VisBuf,Bistro,0.165,0.0281,0.00284,0.03874,0.21424
3840,0.58742,,,0.09352,0.03375,2069926.1,VisBuf,Bistro,0.1612,0.02753,0.00279,0.03793,0.20487
3900,0.57208,,,0.09594,0.03325,1706132.85,VisBuf,Bistro,0.15007,0.02705,0.00246,0.03764,0.19712
3960,0.58187,,,0.09655,0.03495,1310622.9,VisBuf,Bistro,0.15204,0.02743,0.00273,0.0381,0.20306
4020,0.58374,,,0.09466,0.03601,1119696.9,VisBuf,Bistro,0.15153,0.02776,0.00283,0.03859,0.20726
4080,0.60371,,,0.09854,0.0366,958432.85,VisBuf,Bistro,0.15709,0.02708,0.0025,0.03878,0.21545
4140,0.56743,,,0.09717,0.03565,891260.8,VisBuf,Bistro,0.13468,0.02684,0.00252,0.03802,0.20533
4200,0.50953,,,0.09887,0.03463,795127.2,VisBuf,Bistro,0.09819,0.02619,0.00243,0.0372,0.18237
4260,0.50109,,,0.09529,0.0323,2716290.05,VisBuf,Bistro,0.14403,0.02643,0.00229,0.03536,0.1351
4320,0.85571,,,0.09724,0.03757,7242797.15,VisBuf,Bistro,0.39148,0.0319,0.00276,0.04006,0.22971
4380,0.79813,,,0.09814,0.03698,6033148.0,VisBuf,Bistro,0.34454,0.03085,0.00277,0.03949,0.21989
4440,0.51446,,,0.10151,0.03464,867288.75,VisBuf,Bistro,0.08743,0.02656,0.00225,0.03795,0.19341
4500,0.53845,,,0.10051,0.03565,698827.95,VisBuf,Bistro,0.10226,0.02631,0.0023,0.03828,0.20219
4560,0.50334,,,0.09951,0.03331,684012.3,VisBuf,Bistro,0.0926,0.02546,0.0022,0.03699,0.18186
4620,0.5281,,,0.09952,0.03453,872447.4,VisBuf,Bistro,0.10281,0.0265,0.00251,0.03772,0.19473
4680,0.57941,,,0.0963,0.03249,2415162.35,VisBuf,Bistro,0.1646,0.02695,0.00251,0.03727,0.19058
4740,0.67676,,,0.09025,0.03113,5264990.15,VisBuf,Bistro,0.2871,0.02902,0.00287,0.03661,0.17496
4800,0.75299,,,0.08763,0.03013,7605016.1,VisBuf,Bistro,0.38575,0.02931,0.003,0.03567,0.15787
4860,0.71009,,,0.08808,0.02892,7298187.05,VisBuf,Bistro,0.36295,0.02807,0.0028,0.03432,0.13692
4920,0.70395,,,0.08747,0.02883,7437915.15,VisBuf,Bistro,0.36791,0.02781,0.00284,0.03386,0.13017
4980,0.75698,,,0.0873,0.029,8149009.9,VisBuf,Bistro,0.40377,0.02865,0.0029,0.03477,0.14533
5040,0.67595,,,0.08969,0.02973,5907876.05,VisBuf,Bistro,0.30924,0.02808,0.0029,0.03554,0.15572
5100,0.69125,,,0.0879,0.0293,6713387.25,VisBuf,Bistro,0.33444,0.02797,0.00284,0.03505,0.14784
5160,0.78006,,,0.08715,0.02941,8461629.95,VisBuf,Bistro,0.41827,0.02891,0.00291,0.03499,0.15164
5220,0.77472,,,0.08752,0.02929,8496360.0,VisBuf,Bistro,0.42162,0.02856,0.00277,0.03454,0.14469
5280,0.74702,,,0.08588,0.02917,8448473.2,VisBuf,Bistro,0.41629,0.02768,0.00259,0.03318,0.12415
5340,0.61042,,,0.08366,0.02973,6607069.85,VisBuf,Bistro,0.3269,0.02518,0.00255,0.0305,0.08611
5400,0.28639,,,0.08555,0.02858,1056943.5,VisBuf,Bistro,0.0517,0.02065,0.00213,0.02585,0.03996
5460,0.23092,,,0.08551,0.02619,344217.0,VisBuf,Bistro,0.01646,0.01987,0.00206,0.02442,0.02509
