frame,total,depth_prepass,geometry,lighting,tonemap,index_count,renderer,scene,visibility,visutil_histogram,visutil_prefix,visutil_flatten,gbuffer
1140,1.72335,,,0.08786,0.03755,11587346.2,VisBuf,Sponza Ivy,0.36264,0.0311,0.00271,0.04058,1.13685
1200,1.79558,,,0.08615,0.03798,18118567.5,VisBuf,Sponza Ivy,0.53818,0.03349,0.00281,0.04079,1.03249
1260,1.18709,,,0.09015,0.03856,16796927.25,VisBuf,Sponza Ivy,0.505,0.03347,0.00303,0.04083,0.45206
1320,1.20437,,,0.08817,0.0379,17025278.05,VisBuf,Sponza Ivy,0.53575,0.03354,0.00292,0.04104,0.44079
1380,2.36321,,,0.08863,0.0402,20513194.45,VisBuf,Sponza Ivy,0.74068,0.03287,0.00296,0.04052,1.3949
1440,3.58616,,,0.08609,0.03971,22738668.9,VisBuf,Sponza Ivy,0.87365,0.03214,0.0029,0.03951,2.48409
1500,3.48808,,,0.0853,0.03807,24340029.45,VisBuf,Sponza Ivy,0.93704,0.03139,0.00284,0.03817,2.32961
1560,2.74792,,,0.08536,0.03605,25480750.3,VisBuf,Sponza Ivy,0.96663,0.0304,0.00313,0.03672,1.56203
1620,2.7367,,,0.0831,0.0339,25990293.4,VisBuf,Sponza Ivy,0.98133,0.02971,0.00297,0.03588,1.54063
1680,3.19323,,,0.08172,0.0329,26398667.95,VisBuf,Sponza Ivy,0.98602,0.02879,0.00296,0.03425,1.99474
1740,2.77177,,,0.0803,0.02962,26393518.4,VisBuf,Sponza Ivy,0.97504,0.02675,0.00288,0.03152,1.59706
1800,2.66741,,,0.08237,0.02841,26437710.3,VisBuf,Sponza Ivy,0.9964,0.02649,0.0031,0.03137,1.46907
1860,2.86229,,,0.08073,0.02966,26437681.0,VisBuf,Sponza Ivy,0.99589,0.02781,0.00292,0.03301,1.66428
1920,2.9355,,,0.08412,0.03535,26437617.4,VisBuf,Sponza Ivy,0.99729,0.0296,0.00266,0.03556,1.72496
1980,2.84544,,,0.08634,0.0356,25454451.5,VisBuf,Sponza Ivy,0.96088,0.0299,0.00284,0.03649,1.66658
2040,2.47945,,,0.08708,0.03615,22314910.7,VisBuf,Sponza Ivy,0.7504,0.03038,0.00285,0.03711,1.51083
2100,2.22209,,,0.09133,0.04131,16667258.7,VisBuf,Sponza Ivy,0.53579,0.03142,0.00299,0.03908,1.45143
2160,0.80863,,,0.09213,0.03455,3680024.7,VisBuf,Sponza Ivy,0.17651,0.02505,0.00264,0.03456,0.41573
2220,0.26873,,,0.08589,0.02825,250198.2,VisBuf,Sponza Ivy,0.0168,0.02039,0.00214,0.02557,0.05715
2280,0.23809,,,0.08554,0.02575,81778.25,VisBuf,Sponza Ivy,0.0093,0.01989,0.00215,0.02486,0.03838
2340,0.21725,,,0.08543,0.02311,0.0,VisBuf,Sponza Ivy,0.0054,0.01958,0.00215,0.0245,0.02518
2400,0.21745,,,0.08547,0.0231,0.0,VisBuf,Sponza Ivy,0.00544,0.01956,0.00214,0.0245,0.02516
2460,0.21698,,,0.08535,0.02311,0.0,VisBuf,Sponza Ivy,0.00543,0.01955,0.00215,0.0245,0.02515
