param_material_assign_locality,param_material_assign_diversity,param_seed,DeferredPrepass,VisBuf,deferred_over_visbuf,visbuf_percent_faster
1.0,0.3,0,0.25821,0.38836,0.6648727984344422,-33.51272015655577
1.0,0.3,1,0.25774,0.38326,0.6724938683922143,-32.75061316077858
1.0,0.3,2,0.25721,0.38259,0.6722862594422228,-32.77137405577773
1.0,0.4,0,0.25624,0.38748,0.661298647672138,-33.870135232786204
1.0,0.4,1,0.25579,0.38247,0.6687844798284833,-33.121552017151664
1.0,0.4,2,0.25663,0.3832,0.6697025052192068,-33.02974947807932
1.0,0.5,0,0.25434,0.39648,0.641495157384988,-35.8504842615012
1.0,0.5,1,0.25395,0.39467,0.6434489573567791,-35.65510426432209
1.0,0.5,2,0.25423,0.37235,0.6827715858735061,-31.722841412649394
1.0,0.6,0,0.25429,0.39876,0.6377018758150266,-36.229812418497346
1.0,0.6,1,0.25412,0.38087,0.6672092840076668,-33.279071599233326
1.0,0.6,2,0.25371,0.37457,0.6773366793923699,-32.26633206076301
1.0,0.7,0,0.25418,0.38741,0.6561007717921583,-34.38992282078417
1.0,0.7,1,0.25372,0.38995,0.6506475189126811,-34.935248108731884
1.0,0.7,2,0.25385,0.37595,0.6752227689852375,-32.47772310147625
1.0,0.8,0,0.25346,0.38015,0.6667368144153625,-33.326318558463754
1.0,0.8,1,0.25325,0.38904,0.6509613407361711,-34.90386592638289
1.0,0.8,2,0.2533,0.3822,0.6627420198848771,-33.72579801151229
1.0,0.9,0,0.25291,0.39666,0.637598951242878,-36.2401048757122
1.0,0.9,1,0.25316,0.38082,0.664776009663358,-33.52239903366419
1.0,0.9,2,0.2528,0.39703,0.6367277031962321,-36.327229680376796
1.0,0.95,0,0.25418,0.39067,0.6506258479023217,-34.93741520976783
1.0,0.95,1,0.25317,0.38516,0.6573112472738603,-34.268875272613975
1.0,0.95,2,0.25338,0.38035,0.666175890627054,-33.3824109372946
1.0,1.0,0,0.2526,0.38094,0.6630965506378957,-33.69034493621042
1.0,1.0,1,0.25318,0.38557,0.6566382239282101,-34.33617760717899
1.0,1.0,2,0.25294,0.3985,0.6347302383939774,-36.52697616060227
