frame,total,visibility,gbuffer,lighting,tonemap,index_count
1320,1.99527,0.92552,0.38440,0.58790,0.07606,15956200.20000
1330,1.89188,0.90483,0.31024,0.58320,0.07242,15627214.20000
1340,1.84929,0.93646,0.24276,0.58024,0.07128,15891296.10000
1350,2.62330,1.03396,0.55274,0.92978,0.08020,16763058.90000
1360,2.89538,1.15670,0.95258,0.58476,0.07444,18137182.80000
1370,3.70044,1.33812,1.45839,0.58511,0.07389,19776716.10000
1380,3.90115,1.38496,1.57979,0.58638,0.07536,20313801.00000
1390,4.26698,1.41351,2.04403,0.58695,0.07902,20898246.00000
1400,4.65752,1.46030,2.33490,0.58776,0.08376,21234892.80000
1410,4.21741,1.34937,2.11084,0.58222,0.07680,19659505.50000
1420,4.27306,1.28698,1.96836,0.57956,0.06756,19679481.90000
1430,5.03452,1.50232,2.75278,0.58210,0.07515,21293239.50000
1440,5.29269,1.53663,2.96135,0.58032,0.07319,21575512.20000
1450,5.66540,1.57481,3.18535,0.58177,0.07320,22041442.20000
1460,5.80884,1.63436,3.31376,0.58206,0.07485,22658125.50000
1470,5.75937,1.65945,3.31020,0.58179,0.07496,23017506.30000
1480,6.06979,1.68528,3.47000,0.58321,0.07579,23363749.80000
1490,6.13463,1.70870,3.61795,0.58225,0.07641,23775677.40000
1500,6.21806,1.73002,3.65661,0.58278,0.07676,24093736.20000
1510,5.99028,1.75197,3.51968,0.58150,0.07674,24350039.10000
1520,6.02136,1.76535,3.37154,0.58252,0.07535,24492098.70000
1530,5.70083,1.74242,3.15597,0.58002,0.07040,24291856.20000
1540,5.40464,1.73177,2.88815,0.57773,0.06816,24262731.60000
1550,5.36459,1.75282,2.71548,0.57916,0.06800,24549714.90000
1560,5.08670,1.78468,2.59234,0.57780,0.06825,24916865.10000
1570,5.01372,1.79951,2.46658,0.57901,0.06767,25179599.40000
1580,5.00994,1.80907,2.30822,0.58155,0.06862,25368188.40000
1590,4.87932,1.82687,2.28138,0.58192,0.07001,25654489.80000
1600,4.81752,1.81906,2.16724,0.58246,0.07042,25850447.10000
1610,4.70712,1.80233,2.02056,0.58151,0.06936,25914912.00000
1620,4.54695,1.81326,1.93466,0.58007,0.06741,25914921.00000
1630,4.57932,1.82541,1.92304,0.57846,0.06651,25916769.00000
1640,4.69296,1.82570,2.05357,0.57712,0.06602,25933466.40000
1650,4.73985,1.82707,2.10012,0.57711,0.06551,25985083.20000
1660,4.85685,1.83269,2.19895,0.57630,0.06520,26082121.80000
