frame,total,raster_stats,index_count
640,12.84576,12.84153,24656305.80000
650,12.38465,12.38051,24617946.60000
660,15.33710,15.33296,25965509.40000
670,19.71718,19.71305,26055673.20000
680,23.90545,23.90119,26055559.50000
690,22.63190,22.62780,26052042.00000
700,24.95017,24.94603,26052042.00000
710,26.23982,26.23569,26052042.00000
720,28.12516,28.12090,25869741.00000
730,27.05339,27.04862,25789734.00000
740,28.48164,28.47691,25601418.00000
750,28.46516,28.46068,25475874.00000
760,20.82416,20.81994,25634611.50000
770,14.62574,14.62158,25963347.60000
780,13.05372,13.04964,26061472.80000
790,14.00340,13.99931,24983987.40000
800,16.17000,16.16580,24861120.60000
810,17.14364,17.13948,24864272.40000
820,17.67613,17.67179,24864267.00000
830,49.66552,49.66127,24864276.00000
840,44.08386,44.07930,24864276.60000
850,45.57774,45.57313,24864277.20000
860,46.10730,46.10282,24864281.40000
870,44.54918,44.54452,25582623.00000
880,53.15139,53.14676,26061513.00000
890,45.06837,45.06366,26061513.00000
900,44.47418,44.46951,26061509.40000
910,42.91670,42.91202,26061502.20000
920,39.76196,39.75732,26061499.20000
930,37.69318,37.68852,26061495.00000
940,37.15132,37.14664,26061495.00000
950,37.35810,37.35344,26061495.00000
960,39.79926,39.79459,26061492.00000
970,49.97573,49.97109,26061460.20000
980,65.60525,65.60059,26061447.00000
990,69.38211,69.37750,26061447.00000
1000,72.96697,72.96239,25822002.60000
1010,73.91277,73.90800,24864225.00000
1020,75.08895,75.08428,24864225.00000
1030,71.92808,71.92350,24864225.00000
1040,23.10654,23.10233,24864225.00000
1050,20.16499,20.16092,25343113.80000
1060,20.64291,20.63868,26061447.00000
1070,19.12998,19.12576,26061447.00000
1080,17.91591,17.91182,25221768.60000
1090,24.47802,24.47380,24526508.40000
1100,26.40205,26.39775,24352908.00000
1110,25.09746,25.09278,24352908.00000
1120,25.49722,25.49303,24352908.00000
1130,26.42863,26.42433,24350562.00000
1140,26.62027,26.61552,11927716.80000
1150,34.83497,34.83025,6681090.00000
1160,53.29065,53.28594,13225617.00000
1170,39.78748,39.78280,24298596.00000
1180,29.17280,29.16818,24294654.00000
1190,35.51852,35.51411,24296664.00000
1200,46.54592,46.54128,24299679.00000
1210,30.29002,30.28528,24300555.00000
1220,28.04476,28.04051,24299679.00000
1230,28.45730,28.45292,24299687.40000
1240,37.79320,37.78873,24299713.20000
1250,29.98272,29.97846,24297205.50000
1260,29.41888,29.41445,24290977.20000
1270,34.97672,34.97234,24288499.20000
1280,35.36699,35.36233,24044190.90000
1290,45.97808,45.97338,23925192.00000
1300,49.75964,49.75491,23433445.20000
1310,33.87177,33.86711,21388362.00000
1320,42.70684,42.70210,22058800.50000
1330,46.79698,46.79240,20770479.00000
1340,50.48680,50.48214,21257628.00000
1350,37.87126,37.86656,22078219.80000
1360,28.09460,28.08998,24830994.90000
1370,29.49753,29.49343,26061453.00000
1380,25.99503,25.99070,26061447.60000
1390,66.52172,66.51725,26061447.00000
1400,51.63688,51.63212,26061448.80000
1410,35.26631,35.26173,25763377.20000
1420,34.98382,34.97927,25788792.60000
1430,36.21758,36.21297,26061465.00000
1440,33.96282,33.95801,26061472.20000
1450,38.54459,38.53999,26061477.00000
1460,47.29785,47.29315,26061477.00000
1470,45.37712,45.37240,26061477.00000
1480,46.83168,46.82701,26061481.80000
1490,50.58265,50.57807,26061487.20000
1500,52.17682,52.17222,26061492.60000
1510,51.86936,51.86464,26061498.00000
1520,46.87940,46.87475,26061501.00000
1530,39.72636,39.72177,26061496.20000
1540,34.14801,34.14338,26061498.00000
1550,31.41832,31.41362,26061501.00000
1560,32.74632,32.74193,26061502.20000
1570,28.49157,28.48701,26065713.60000
1580,31.45986,31.45550,26147706.60000
1590,30.36978,30.36549,26171161.80000
1600,31.34023,31.33589,26171171.40000
1610,30.01748,30.01318,26171178.00000
1620,29.63606,29.63185,26171175.00000
1630,28.80432,28.80008,26171169.00000
