sweep,x_value,DonutDeferredPrepass,DonutVisGBuffer,vis_to_deferred_ratio,vis_overhead_ms,vis_overhead_percent
material-assign-diversity,0.6,0.06202,0.11644,1.8774588842308932,0.05442,87.74588842308933
material-assign-diversity,0.65,0.06231,0.11638,1.8677579842721874,0.05407,86.77579842721875
material-assign-diversity,0.7,0.06246,0.11648,1.8648735190521935,0.05402,86.48735190521934
material-assign-diversity,0.75,0.06212,0.1166,1.877012234385061,0.054479999999999994,87.7012234385061
material-assign-diversity,0.8,0.06216,0.11669,1.8772522522522523,0.05453,87.72522522522523
material-assign-diversity,0.85,0.06218,0.11676,1.8777742039240914,0.054580000000000004,87.77742039240914
material-assign-diversity,0.9,0.06234,0.11636,1.866538338145653,0.054020000000000006,86.6538338145653
material-assign-diversity,0.95,0.06212,0.1164,1.8737926593689633,0.05428,87.37926593689633
material-assign-diversity,1.0,0.06246,0.11633,1.8624719820685238,0.05387,86.24719820685239
material-assign-locality,0.0,0.06207,0.1164,1.875302078298695,0.05433,87.53020782986951
material-assign-locality,0.05,0.06228,0.11669,1.8736351958895312,0.05441,87.36351958895312
material-assign-locality,0.1,0.06208,0.11662,1.8785438144329896,0.05454,87.85438144329896
material-assign-locality,0.15,0.06202,0.11643,1.877297645920671,0.05441000000000001,87.7297645920671
material-assign-locality,0.2,0.062,0.11644,1.8780645161290324,0.05444,87.80645161290323
material-assign-locality,0.25,0.06211,0.11668,1.8786024794719047,0.05457000000000001,87.86024794719047
material-assign-locality,0.3,0.06232,0.1167,1.8725930680359435,0.05438,87.25930680359436
material-assign-locality,0.35,0.06233,0.11688,1.875180490935344,0.054549999999999994,87.5180490935344
material-assign-locality,0.4,0.06212,0.11637,1.8733097231165485,0.05425,87.33097231165485
material-assign-locality,0.45,0.06204,0.11639,1.876047711154094,0.054349999999999996,87.6047711154094
material-assign-locality,0.5,0.0621,0.1164075,1.8745169082125603,0.054307499999999995,87.45169082125604
material-assign-locality,0.55,0.06213,0.11629,1.8717205858683408,0.05416000000000001,87.17205858683408
material-assign-locality,0.6,0.06206,0.11638,1.8752819851756366,0.05432,87.52819851756367
material-assign-locality,0.65,0.06227,0.11646,1.8702424923719287,0.054189999999999995,87.02424923719288
material-assign-locality,0.7,0.06211,0.11632,1.8728063113830302,0.05421000000000001,87.28063113830302
material-assign-locality,0.75,0.0623,0.11622,1.8654895666131621,0.05392,86.54895666131621
material-assign-locality,0.8,0.06211,0.11662,1.8776364514570922,0.05451,87.76364514570922
material-assign-locality,0.85,0.06213,0.11652,1.8754225012071464,0.05439,87.54225012071464
material-assign-locality,0.9,0.06215,0.11654,1.8751407884151248,0.05439000000000001,87.51407884151247
material-assign-locality,0.95,0.06195,0.11665,1.8829701372074255,0.054700000000000006,88.29701372074254
material-assign-locality,1.0,0.06219,0.11686,1.8790802379803828,0.05467,87.90802379803829
material-assign-max-open,1.0,0.0621,0.11636,1.8737520128824476,0.05426,87.37520128824477
material-assign-max-open,2.0,0.06572,0.11651,1.7728241022519782,0.05079,77.28241022519782
material-assign-max-open,4.0,0.0621,0.11626,1.8721417069243156,0.05416,87.21417069243157
material-assign-max-open,8.0,0.062,0.11649,1.8788709677419355,0.05449,87.88709677419355
material-assign-max-open,16.0,0.06206,0.11649,1.8770544634224944,0.05443,87.70544634224945
material-assign-max-open,32.0,0.0622,0.11626,1.8691318327974278,0.054060000000000004,86.91318327974278
material-assign-max-open,48.0,0.06201,0.11641,1.8772778584099339,0.0544,87.72778584099339
material-assign-max-open,64.0,0.0621,0.1164075,1.8745169082125603,0.054307499999999995,87.45169082125604
material-assign-max-open,80.0,0.06206,0.1165,1.8772155978085725,0.05444000000000001,87.72155978085725
material-assign-max-open,96.0,0.06197,0.11628,1.8763918024850734,0.05431,87.63918024850734
material-assign-max-open,112.0,0.06208,0.11625,1.872583762886598,0.05417,87.2583762886598
material-assign-max-open,128.0,0.06195,0.11659,1.882001614205004,0.05464,88.2001614205004
material-assign-max-open,144.0,0.06194,0.11695,1.888117533096545,0.055009999999999996,88.81175330965449
material-assign-max-open,160.0,0.06215,0.11661,1.8762670957361225,0.05446000000000001,87.62670957361225
material-assign-max-open,176.0,0.06185,0.11724,1.8955537590945835,0.055389999999999995,89.55537590945835
material-assign-max-open,192.0,0.06243,0.11701,1.8742591702707032,0.054580000000000004,87.42591702707033
material-assign-max-open,208.0,0.06206,0.1163,1.8739929100870127,0.054240000000000003,87.39929100870127
material-assign-max-open,224.0,0.0622,0.11654,1.8736334405144697,0.054340000000000006,87.36334405144697
material-assign-max-open,240.0,0.06215,0.1163,1.8712791633145616,0.054150000000000004,87.12791633145616
material-assign-max-open,255.0,0.06213,0.11633,1.8723643972316113,0.054200000000000005,87.23643972316113
