scene,metric,metric_label,renderer,series,series_kind,pearson_r
sponza_ivy,total_fragments,Total fragments,VisBuf,lighting,pass,0.18789079297547281
sponza_ivy,total_fragments,Total fragments,VisBuf,tonemap,pass,0.7766934432181621
sponza_ivy,covered_pixels,Covered pixels,Deferred,total,total,0.6769201606156136
sponza_ivy,covered_pixels,Covered pixels,Deferred,geometry,pass,0.6344387209574524
sponza_ivy,covered_pixels,Covered pixels,Deferred,lighting,pass,0.15198410011916466
sponza_ivy,covered_pixels,Covered pixels,Deferred,tonemap,pass,0.37690477827792607
sponza_ivy,covered_pixels,Covered pixels,Prepass,total,total,0.43464881451920423
sponza_ivy,covered_pixels,Covered pixels,Prepass,depth_prepass,pass,0.1553869188913069
sponza_ivy,covered_pixels,Covered pixels,Prepass,geometry,pass,0.504924016108093
sponza_ivy,covered_pixels,Covered pixels,Prepass,lighting,pass,0.2541322655795784
sponza_ivy,covered_pixels,Covered pixels,Prepass,tonemap,pass,0.7699332869803805
sponza_ivy,covered_pixels,Covered pixels,VisBuf,total,total,0.4657582834065745
sponza_ivy,covered_pixels,Covered pixels,VisBuf,visibility,pass,0.2224613835168677
sponza_ivy,covered_pixels,Covered pixels,VisBuf,gbuffer,pass,0.5298784633767741
sponza_ivy,covered_pixels,Covered pixels,VisBuf,lighting,pass,0.30643382365162525
sponza_ivy,covered_pixels,Covered pixels,VisBuf,tonemap,pass,0.8985196550005895
sponza_ivy,overdraw_extra,Extra overdraw fragments,Deferred,total,total,0.6151446649206297
sponza_ivy,overdraw_extra,Extra overdraw fragments,Deferred,geometry,pass,0.6491236223907105
sponza_ivy,overdraw_extra,Extra overdraw fragments,Deferred,lighting,pass,-0.013524885932432106
sponza_ivy,overdraw_extra,Extra overdraw fragments,Deferred,tonemap,pass,-0.1835158286938651
sponza_ivy,overdraw_extra,Extra overdraw fragments,Prepass,total,total,0.5069164780403815
sponza_ivy,overdraw_extra,Extra overdraw fragments,Prepass,depth_prepass,pass,0.5023708615148932
sponza_ivy,overdraw_extra,Extra overdraw fragments,Prepass,geometry,pass,0.4339201631244912
sponza_ivy,overdraw_extra,Extra overdraw fragments,Prepass,lighting,pass,0.07845870624907507
sponza_ivy,overdraw_extra,Extra overdraw fragments,Prepass,tonemap,pass,0.47315992327107653
sponza_ivy,overdraw_extra,Extra overdraw fragments,VisBuf,total,total,0.549928481930641
sponza_ivy,overdraw_extra,Extra overdraw fragments,VisBuf,visibility,pass,0.5944655577190651
sponza_ivy,overdraw_extra,Extra overdraw fragments,VisBuf,gbuffer,pass,0.4085499663007522
sponza_ivy,overdraw_extra,Extra overdraw fragments,VisBuf,lighting,pass,0.13588859807075457
sponza_ivy,overdraw_extra,Extra overdraw fragments,VisBuf,tonemap,pass,0.6755507844067238
sponza_ivy,avg_overdraw,Average overdraw,Deferred,total,total,0.691202954695657
sponza_ivy,avg_overdraw,Average overdraw,Deferred,geometry,pass,0.7299731623259031
sponza_ivy,avg_overdraw,Average overdraw,Deferred,lighting,pass,-0.051633080204484025
sponza_ivy,avg_overdraw,Average overdraw,Deferred,tonemap,pass,-0.22713309592079725
sponza_ivy,avg_overdraw,Average overdraw,Prepass,total,total,0.67170193434572
sponza_ivy,avg_overdraw,Average overdraw,Prepass,depth_prepass,pass,0.6868789916991116
sponza_ivy,avg_overdraw,Average overdraw,Prepass,geometry,pass,0.5886165531089588
sponza_ivy,avg_overdraw,Average overdraw,Prepass,lighting,pass,-0.0024803358153395834
sponza_ivy,avg_overdraw,Average overdraw,Prepass,tonemap,pass,0.33214873342945667
sponza_ivy,avg_overdraw,Average overdraw,VisBuf,total,total,0.6722272376650809
sponza_ivy,avg_overdraw,Average overdraw,VisBuf,visibility,pass,0.7534664799233569
sponza_ivy,avg_overdraw,Average overdraw,VisBuf,gbuffer,pass,0.48464869637057356
sponza_ivy,avg_overdraw,Average overdraw,VisBuf,lighting,pass,0.0780602320152909
sponza_ivy,avg_overdraw,Average overdraw,VisBuf,tonemap,pass,0.5377739700123313
sponza_ivy,max_overdraw,Maximum overdraw,Deferred,total,total,0.6432115254753088
sponza_ivy,max_overdraw,Maximum overdraw,Deferred,geometry,pass,0.682511861873567
sponza_ivy,max_overdraw,Maximum overdraw,Deferred,lighting,pass,0.016065438371448686
sponza_ivy,max_overdraw,Maximum overdraw,Deferred,tonemap,pass,-0.25154837498581467
sponza_ivy,max_overdraw,Maximum overdraw,Prepass,total,total,0.7352207610503501
sponza_ivy,max_overdraw,Maximum overdraw,Prepass,depth_prepass,pass,0.7658693374335216
sponza_ivy,max_overdraw,Maximum overdraw,Prepass,geometry,pass,0.6586984777479437
sponza_ivy,max_overdraw,Maximum overdraw,Prepass,lighting,pass,-0.07076147467146825
sponza_ivy,max_overdraw,Maximum overdraw,Prepass,tonemap,pass,0.1725235079607573
sponza_ivy,max_overdraw,Maximum overdraw,VisBuf,total,total,0.6957785595454722
sponza_ivy,max_overdraw,Maximum overdraw,VisBuf,visibility,pass,0.7875464532165956
sponza_ivy,max_overdraw,Maximum overdraw,VisBuf,gbuffer,pass,0.5039641282317613
sponza_ivy,max_overdraw,Maximum overdraw,VisBuf,lighting,pass,0.07047982070149421
sponza_ivy,max_overdraw,Maximum overdraw,VisBuf,tonemap,pass,0.3453514504506673
sponza_ivy,rasterized_triangles,Rasterized triangle count,Deferred,total,total,0.6735847584117488
sponza_ivy,rasterized_triangles,Rasterized triangle count,Deferred,geometry,pass,0.7313447716126684
