frame,total,visibility,gbuffer,lighting,tonemap,index_count
1340,0.64309,0.11428,0.11498,0.34141,0.05929,694622.10000
1350,1.01267,0.16389,0.41796,0.35632,0.06045,1566384.90000
1360,1.52483,0.24063,0.85285,0.35568,0.06176,2940508.80000
1370,2.30352,0.34316,1.29734,0.55973,0.06979,4580042.10000
1380,2.52405,0.37301,1.44814,0.52763,0.06785,5117127.00000
1390,2.96909,0.38618,1.84718,0.36251,0.06718,5701572.00000
1400,3.42602,0.40158,2.20620,0.36497,0.07507,6038218.80000
1410,3.02683,0.30635,1.96384,0.35846,0.06990,4462831.50000
1420,2.73798,0.27350,1.80912,0.44436,0.06036,4482807.90000
1430,3.71814,0.38269,2.51072,0.35895,0.06890,6096565.50000
1440,3.85103,0.40000,2.66556,0.35767,0.06723,6378838.20000
1450,4.10268,0.41716,2.86007,0.35830,0.06690,6844768.20000
1460,4.31037,0.46129,3.10407,0.35771,0.06918,7461451.50000
1470,4.41137,0.47489,3.09933,0.35972,0.06972,7820832.30000
1480,2.72357,0.37935,1.70813,0.33376,0.03876,8167075.80000
1490,2.93760,0.38736,1.77118,0.33501,0.03908,8579003.40000
1500,3.86776,0.48780,2.79678,0.34806,0.05895,8897062.20000
1510,3.90360,0.49685,2.70208,0.34898,0.05926,9153365.10000
1520,2.66829,0.42404,1.62154,0.33301,0.03882,9295424.70000
1530,2.54366,0.41211,1.50181,0.49449,0.03752,9095182.20000
1540,2.38324,0.39947,1.37831,0.55003,0.03838,9066057.60000
1550,3.49184,0.53190,2.28626,0.37050,0.05811,9353040.90000
1560,3.71472,0.57387,2.34015,0.35385,0.06051,9720191.10000
1570,3.50033,0.58272,2.23903,0.35218,0.06102,9982925.40000
1580,3.43986,0.59142,2.11918,0.35438,0.06031,10171514.40000
1590,3.39963,0.60308,2.11110,0.35548,0.06121,10457815.80000
1600,3.28623,0.61183,2.02013,0.35618,0.06119,10653773.10000
1610,3.25886,0.61412,1.89189,0.35564,0.05938,10718238.00000
1620,3.12534,0.61231,1.80574,0.35328,0.05837,10718247.00000
1630,3.17604,0.61062,1.80120,0.35116,0.05690,10720095.00000
1640,3.32074,0.62651,1.93440,0.35135,0.05643,10736792.40000
1650,3.39676,0.60687,1.99646,0.35022,0.05662,10788409.20000
1660,3.40415,0.65130,2.09492,0.34856,0.05614,10885447.80000
1670,3.36046,0.60872,2.12412,0.34705,0.05604,10912725.00000
1680,3.34281,0.61128,2.17196,0.34511,0.05563,11006847.30000
1690,3.39467,0.62313,2.21789,0.34372,0.05606,11241010.80000
1700,3.50459,0.64020,2.22218,0.34344,0.05570,11241018.60000
1710,3.37222,0.61840,2.19406,0.34048,0.05451,11241024.00000
1720,3.36946,0.61916,2.18871,0.33692,0.05402,11241025.80000
1730,3.33380,0.61544,2.15607,0.33642,0.05371,11241037.20000
1740,3.29615,0.60891,2.04538,0.33633,0.05296,11159436.00000
1750,3.05618,0.60007,1.94816,0.33201,0.05036,11057419.80000
1760,3.09157,0.60889,1.91657,0.33213,0.05036,11241048.60000
1770,3.18029,0.60812,1.90967,0.33276,0.05018,11241054.00000
1780,3.06657,0.60700,1.89405,0.33058,0.04940,11241054.00000
1790,3.13346,0.60975,1.87839,0.33077,0.04920,11241054.00000
1800,3.13072,0.60556,1.82423,0.33122,0.04916,11241054.00000
1810,3.17592,0.60693,1.87391,0.33094,0.04876,11241049.80000
1820,3.05218,0.60647,1.87952,0.33118,0.04837,11241039.60000
1830,3.14390,0.60876,1.86298,0.33180,0.04894,11241032.40000
1840,3.20093,0.60788,1.81381,0.33353,0.05022,11241024.00000
1850,3.02803,0.60797,1.78907,0.33186,0.04862,11241018.00000
1860,3.04945,0.61048,1.83141,0.33302,0.04923,11241019.80000
1870,3.10909,0.61032,1.87852,0.33604,0.05005,11241019.80000
1880,3.39556,0.61234,1.94828,0.34159,0.05200,11241012.60000
1890,3.41402,0.61572,1.98314,0.34163,0.05259,11241004.80000
1900,3.47057,0.62272,2.00774,0.34251,0.05330,11240997.00000
1910,3.39914,0.61912,2.03359,0.34280,0.05371,11240988.00000
1920,3.35138,0.62061,2.08738,0.34189,0.05506,11240979.60000
1930,3.60101,0.62894,2.13326,0.34667,0.05645,11240965.20000
1940,3.59495,0.63284,2.19516,0.34752,0.05766,11240951.40000
1950,3.52452,0.63182,2.24544,0.34693,0.05882,11240937.00000
1960,3.58567,0.63433,2.22960,0.35018,0.06051,11240920.80000
1970,3.52947,0.63524,2.18753,0.35332,0.06188,11240906.40000
1980,3.56840,0.63610,2.17448,0.35614,0.06320,11048367.60000
1990,3.41094,0.59750,2.11809,0.35176,0.05941,10373694.60000
2000,3.28057,0.58791,2.03207,0.35057,0.05767,10223550.60000
2010,3.32878,0.59362,2.00684,0.35283,0.05885,10177897.20000
2020,3.24934,0.59685,2.00941,0.35383,0.06152,10158671.40000
2030,3.25486,0.56898,1.99520,0.35491,0.06164,9564483.60000
2040,3.13844,0.51836,1.92912,0.35274,0.05979,8650854.90000
2050,3.21344,0.49664,1.97644,0.35304,0.05988,8318451.60000
2060,3.42430,0.52253,2.17782,0.35709,0.06558,8665887.00000
2070,3.34120,0.49668,2.12109,0.36012,0.06982,7881299.40000
2080,2.80668,0.35577,1.79638,0.35532,0.06324,5397019.20000
2090,2.46292,0.26006,1.51468,0.59202,0.06384,3795908.10000
2100,2.26158,0.22307,1.37836,0.49374,0.06872,3118903.80000
2110,2.46149,0.25363,1.46397,0.49761,0.06884,3664485.60000
2120,2.81507,0.34074,1.76437,0.36715,0.07871,5019081.60000
2130,3.01682,0.36854,1.83130,0.36851,0.08116,5231196.00000
2140,3.25044,0.38282,2.19097,0.36565,0.07991,5636161.80000
2150,3.56602,0.40249,2.45900,0.36306,0.07611,6005308.80000
2160,2.59731,0.31495,1.62100,0.38215,0.07226,4074952.50000
2170,1.50383,0.15187,0.92967,0.34913,0.06109,1575881.40000
2180,1.24259,0.15818,0.65340,0.35077,0.06653,1637140.20000
2190,1.02952,0.15468,0.44258,0.34928,0.06908,1388206.80000
2200,0.75638,0.09937,0.25426,0.33596,0.05360,724267.50000
2210,0.59061,0.05902,0.15766,0.31736,0.04343,522360.60000
2220,0.61278,0.03655,0.20742,0.31602,0.04014,359120.40000
2230,0.53937,0.02507,0.14571,0.31316,0.04261,318315.00000
2240,0.49700,0.01909,0.10732,0.31244,0.04575,235974.30000
2250,0.48066,0.01016,0.10063,0.31220,0.04535,40580.10000
2260,0.51143,0.01320,0.11688,0.31313,0.04482,142475.40000
2270,0.59392,0.02781,0.20444,0.31495,0.03451,404724.00000
2280,0.56709,0.02343,0.17970,0.31517,0.03637,264973.50000
2290,0.53636,0.01969,0.14815,0.31444,0.04161,205083.00000
2300,0.48625,0.00776,0.10732,0.31304,0.04474,20613.00000
2310,0.47722,0.00550,0.10062,0.31281,0.04543,0.00000
2320,0.47590,0.00550,0.10056,0.31220,0.04455,0.00000
2330,0.47697,0.00549,0.10056,0.31244,0.04536,0.00000
2340,0.47677,0.00550,0.10062,0.31257,0.04511,0.00000
2350,0.47759,0.00551,0.10060,0.31256,0.04572,0.00000
2360,0.47742,0.00548,0.10058,0.31258,0.04578,0.00000
2370,0.47768,0.00556,0.10054,0.31278,0.04559,0.00000
2380,0.47730,0.00550,0.10062,0.31180,0.04540,0.00000
2390,0.47609,0.00550,0.10062,0.31252,0.04442,0.00000
2400,0.47752,0.00549,0.10066,0.31296,0.04533,0.00000
2410,0.47657,0.00545,0.10059,0.31246,0.04499,0.00000
2420,0.47595,0.00548,0.10059,0.31233,0.04456,0.00000
2430,0.47728,0.00550,0.10062,0.31275,0.04534,0.00000
2440,0.47621,0.00550,0.10061,0.31243,0.04459,0.00000
2450,0.47735,0.00550,0.10058,0.31287,0.04544,0.00000
2460,0.47843,0.00548,0.10062,0.31255,0.04588,0.00000
2470,0.47690,0.00546,0.10060,0.31226,0.04547,0.00000
2480,0.47541,0.00546,0.10056,0.31177,0.04450,0.00000
2490,0.47564,0.00545,0.10056,0.31171,0.04384,0.00000
